Date,Value
1394/02/19,63530.2
1394/02/20,62885.9
1394/02/21,63069.8
1394/02/22,63316
1394/02/23,63531.4
1394/02/27,63465.1
1394/02/28,63522.8
1394/02/29,63644.3
1394/02/30,63703.1
1394/03/02,63427.8
1394/03/03,63363.8
1394/03/04,63496.5
1394/03/05,63419.1
1394/03/06,63402.1
1394/03/09,63419.9
1394/03/10,63227.9
1394/03/11,63227
1394/03/12,63289.8
1394/03/16,63297.6
1394/03/17,63187.3
1394/03/18,62952.3
1394/03/19,62317.9
1394/03/20,62322.2
1394/03/23,62571.2
1394/03/24,62653.3
1394/03/25,62442
1394/03/26,62558.9
1394/03/27,63559.7
1394/03/30,63836.2
1394/03/31,63810.7
1394/04/01,64276.5
1394/04/02,64839.5
1394/04/03,64857.6
1394/04/06,64812.2
1394/04/07,64301.4
1394/04/08,64332.9
1394/04/09,64922.6
1394/04/10,64861.8
1394/04/13,65860.8
1394/04/14,65780.1
1394/04/15,66019.9
1394/04/16,66761.4
1394/04/20,66817.8
1394/04/21,67646.4
1394/04/22,69194.5
1394/04/23,69433.5
1394/04/24,68827.7
1394/04/28,68827.7
1394/04/29,68148.4
1394/04/30,68050.7
1394/04/31,67643.9
1394/05/03,67036.3
1394/05/04,66977.4
1394/05/05,66441.4
1394/05/06,66489.5
1394/05/07,66780.7
1394/05/10,66829.7
1394/05/11,66530.5
1394/05/12,66626.7
1394/05/13,66445.7
1394/05/14,66451
1394/05/17,66000.9
1394/05/18,65973.5
1394/05/19,65903.1
1394/05/21,65703.3
1394/05/24,65314.3
1394/05/25,65239.9
1394/05/26,65302.5
1394/05/27,65189.4
1394/05/28,65218.3
1394/05/31,65225
1394/06/01,64881.4
1394/06/02,64651.6
1394/06/03,64197.3
1394/06/04,64206.2
1394/06/07,64451.3
1394/06/08,64467.3
1394/06/09,64225.8
1394/06/10,64251
1394/06/11,64276.2
1394/06/14,64497
1394/06/15,64506.6
1394/06/16,64518.4
1394/06/17,64511.7
1394/06/18,63467.7
1394/06/21,63482.5
1394/06/22,62958.2
1394/06/23,62993
1394/06/24,62536.5
1394/06/25,62264.5
1394/06/28,62254.7
1394/06/29,61553.2
1394/06/30,61328
1394/06/31,61576.8
1394/07/01,61686
1394/07/04,61530.9
1394/07/05,61563
1394/07/06,61568.9
1394/07/07,61578.8
1394/07/08,61498.3
1394/07/11,61217.4
1394/07/12,61163.7
1394/07/13,61233.6
1394/07/14,61209.8
1394/07/15,61389.8
1394/07/18,61396.9
1394/07/19,61287.1
1394/07/20,61296.6
1394/07/21,61434.4
1394/07/22,61973.3
1394/07/25,62799.1
1394/07/26,63071.4
1394/07/27,63126.7
1394/07/28,63142
1394/07/29,63175
1394/08/03,62792.8
1394/08/04,62803.3
1394/08/05,62923
1394/08/06,62923.7
1394/08/09,62948.6
1394/08/10,62942.7
1394/08/11,62855.7
1394/08/12,62811.6
1394/08/13,62927.4
1394/08/16,63000.4
1394/08/17,62999.2
1394/08/18,63035.7
1394/08/19,63044.3
1394/08/20,63056.4
1394/08/23,63070.6
1394/08/24,63083.5
1394/08/25,63108.6
1394/08/26,63013.6
1394/08/27,62871.3
1394/08/30,62889
1394/09/01,62923.9
1394/09/02,62795.7
1394/09/03,62720.9
1394/09/04,62734.6
1394/09/07,62635.4
1394/09/08,62639.1
1394/09/09,62647.7
1394/09/10,62550
1394/09/14,62577.1
1394/09/15,62420.2
1394/09/16,62374.8
1394/09/17,62392.4
1394/09/18,62409.8
1394/09/22,62310.7
1394/09/23,62216.3
1394/09/24,62233.3
1394/09/25,62147.3
1394/09/28,61734
1394/09/29,61501.5
1394/09/30,61518.5
1394/10/01,61414.2
1394/10/02,61420.7
1394/10/05,61436.9
1394/10/06,61455.3
1394/10/07,61469.3
1394/10/09,61691
1394/10/12,61700.1
1394/10/13,61710.2
1394/10/14,61728.1
1394/10/15,62055.9
1394/10/16,62632.8
1394/10/19,62655
1394/10/20,62461
1394/10/21,62788.7
1394/10/22,62841.2
1394/10/23,63516.9
1394/10/26,64860.9
1394/10/27,65424.1
1394/10/28,65119.5
1394/10/29,66118.1
1394/10/30,66562.5
1394/11/03,66960.4
1394/11/04,67740.1
1394/11/05,68857.5
1394/11/06,70999.5
1394/11/07,71011
1394/11/10,71393.9
1394/11/11,71118.8
1394/11/12,72912.8
1394/11/13,73725.5
1394/11/14,73684
1394/11/17,74103.6
1394/11/18,74569.4
1394/11/19,75783.8
1394/11/20,78199.1
1394/11/21,77497.9
1394/11/24,76594.2
1394/11/25,76709.5
1394/11/26,77377.5
1394/11/27,77141.6
1394/11/28,77888
1394/12/01,77560.9
1394/12/02,77234.9
1394/12/03,77587.7
1394/12/04,77704
1394/12/05,77840.2
1394/12/08,78228.3
1394/12/09,77733.8
1394/12/10,77539.2
1394/12/11,77648.8
1394/12/12,77697.8
1394/12/15,78022.2
1394/12/16,78093
1394/12/17,78158.4
1394/12/18,78220
1394/12/19,78312.1
1394/12/22,79366.5
1394/12/24,80236.7
1394/12/25,80037.5
1394/12/26,80219.4
1395/01/07,81200.3
1395/01/08,81261
1395/01/09,80935.7
1395/01/10,80561.3
1395/01/11,81480.4
1395/01/14,81536.9
1395/01/15,80852.7
1395/01/16,80872.1
1395/01/17,80965.8
1395/01/18,80752.7
1395/01/21,80654
1395/01/22,80280.7
1395/01/23,80262.4
1395/01/24,80109.3
1395/01/25,79588.3
1395/01/28,77984.8
1395/01/29,77516.2
1395/01/30,78435.4
1395/01/31,78430.9
1395/02/01,78269
1395/02/04,78281.7
1395/02/05,78448.3
1395/02/06,78688.4
1395/02/07,78394.4
1395/02/08,78404.7
1395/02/11,78414.6
1395/02/12,78384.4
1395/02/13,78285.4
1395/02/14,78044.4
1395/02/15,78033.8
1395/02/18,77423.9
1395/02/19,77045.3
1395/02/20,77106
1395/02/21,76630.4
1395/02/22,75982.6
1395/02/25,76138.6
1395/02/26,75863.2
1395/02/27,75980.5
1395/02/28,76292.9
1395/02/29,76413.3
1395/03/01,76448.3
1395/03/03,76613.9
1395/03/04,76692.8
1395/03/05,76853
1395/03/08,76690.6
1395/03/09,76387
1395/03/10,76431.5
1395/03/11,76144.2
1395/03/12,76084.2
1395/03/16,76160.6
1395/03/17,76128.6
1395/03/18,75874.5
1395/03/19,75876.2
1395/03/22,74850.1
1395/03/23,74817.8
1395/03/24,74700.5
1395/03/25,73959.7
1395/03/26,73877.1
1395/03/29,73906.5
1395/03/30,73027.9
1395/03/31,72615
1395/04/01,72799.2
1395/04/02,73644.8
1395/04/05,73672
1395/04/06,73743.5
1395/04/08,74190.5
1395/04/09,73940.3
1395/04/12,73965.5
1395/04/13,74064
1395/04/14,73947.2
1395/04/15,74049.1
1395/04/19,73716.6
1395/04/20,73764.2
1395/04/21,73816.7
1395/04/22,73736
1395/04/23,73763
1395/04/26,73868
1395/04/27,74194.8
1395/04/28,74196.9
1395/04/29,74313.6
1395/04/30,74514.1
1395/05/02,74934.3
1395/05/03,75183.9
1395/05/04,75466.5
1395/05/05,75501
1395/05/06,76225.7
1395/05/10,76579.7
1395/05/11,76647.4
1395/05/12,77089.8
1395/05/13,77856.5
1395/05/16,78324.9
1395/05/17,78704.6
1395/05/18,78324.9
1395/05/19,78368.4
1395/05/20,78190.5
1395/05/23,78218.8
1395/05/24,78205.1
1395/05/25,77828.8
1395/05/26,77855.5
1395/05/27,77879
1395/05/30,77968.7
1395/05/31,78086.4
1395/06/01,78086.1
1395/06/02,77964
1395/06/03,78081.5
1395/06/06,77757.6
1395/06/07,77313.6
1395/06/08,77345.6
1395/06/09,77358.6
1395/06/10,77167.9
1395/06/13,76747
1395/06/14,76509.4
1395/06/15,76522.2
1395/06/16,76669.6
1395/06/17,76742.2
1395/06/20,76640.3
1395/06/21,76643.9
1395/06/23,76444.2
1395/06/24,76455.4
1395/06/27,76104.9
1395/06/28,76166.7
1395/06/29,76272.6
1395/06/31,76450.9
1395/07/03,76906.9
1395/07/04,77081.5
1395/07/05,77089.8
1395/07/06,77143.1
1395/07/07,77300.3
1395/07/10,77478.8
1395/07/11,77287.6
1395/07/12,77265.3
1395/07/13,77335.3
1395/07/14,77183
1395/07/17,77217
1395/07/18,77435.8
1395/07/19,77655.1
1395/07/24,77886.4
1395/07/25,77569.1
1395/07/26,77707.2
1395/07/27,77849.5
1395/07/28,78091.5
1395/08/01,78387.2
1395/08/02,78370.3
1395/08/03,78568.8
1395/08/04,78761.9
1395/08/05,79299.6
1395/08/08,80340.7
1395/08/09,80339.2
1395/08/10,80263.7
1395/08/11,79659.2
1395/08/12,79670.9
1395/08/15,79253.5
